dataset,model,seed,window,mae_mean,mase_mean,train_time_sec,peak_gpu_mb
M5,SeasonalNaive,N/A,1,1.1026785714285714,1.232722639742414,40.19452183350222,0.031488
M5,AutoARIMA,N/A,1,0.8907924482208931,1.1099286624008464,40.19452183350222,0.031488
M5,LightGBM,42,1,1.1271988269592879,1.998114603572693,0.8094885409809649,0.031488
M5,PatchTST,42,1,0.8645563059913015,0.9650447526052974,48.66988613636402,0.047104
M5,NBEATS,42,1,0.8493470247845587,0.9117011187599353,48.66988613636402,0.047104
M5,TiDE,42,1,0.8589745443444033,1.020061866076324,48.66988613636402,0.047104
M5,DeepAR,42,1,0.913631119900383,1.1127591099430814,48.66988613636402,0.047104
M5,DeepAR-median,42,1,0.9160068038122595,1.1231000926374886,48.66988613636402,0.047104
M5,DeepAR-lo-90,42,1,1.598313437358177,2.196788716545094,48.66988613636402,0.047104
M5,DeepAR-lo-80,42,1,1.204295668042905,1.6026002269236914,48.66988613636402,0.047104
M5,DeepAR-hi-80,42,1,1.5204819639825393,2.1014882099969223,48.66988613636402,0.047104
M5,DeepAR-hi-90,42,1,1.8689247846230865,2.596268980141647,48.66988613636402,0.047104
M5,DLinear,42,1,0.8600926360526189,1.021240124564603,48.66988613636402,0.047104
M5,TimesNet,42,1,0.8574955729217203,0.9476217584408405,48.66988613636402,0.047104
M5,LightGBM,123,1,1.1271988269592879,1.998114603572693,0.8844073750078678,0.047104
M5,PatchTST,123,1,0.8584202445760204,0.9219286208445205,46.165331534091486,0.064
M5,NBEATS,123,1,0.8473056625260155,0.9091046801475899,46.165331534091486,0.064
M5,TiDE,123,1,0.8591933712336635,1.0177962266661178,46.165331534091486,0.064
M5,DeepAR,123,1,0.9011687864215182,1.0802934859621018,46.165331534091486,0.064
M5,DeepAR-median,123,1,0.901549979046561,1.088273532203575,46.165331534091486,0.064
M5,DeepAR-lo-90,123,1,1.431423089717199,1.903228082102768,46.165331534091486,0.064
M5,DeepAR-lo-80,123,1,1.1134826447596424,1.433400612622895,46.165331534091486,0.064
M5,DeepAR-hi-80,123,1,1.3646166867855936,1.857867875611328,46.165331534091486,0.064
M5,DeepAR-hi-90,123,1,1.6426015099643598,2.2542925152490842,46.165331534091486,0.064
M5,DLinear,123,1,0.8598414655716624,1.018164073803438,46.165331534091486,0.064
M5,TimesNet,123,1,0.862190481321191,0.9411187635420504,46.165331534091486,0.064
M5,LightGBM,456,1,1.1271988269592879,1.998114603572693,0.9097113329917192,0.064
M5,PatchTST,456,1,0.8495951299464579,0.9515206190188179,41.10119859845409,0.032
M5,NBEATS,456,1,0.8467248849657856,0.903343073644815,41.10119859845409,0.032
M5,TiDE,456,1,0.858605694012783,1.0197344198059008,41.10119859845409,0.032
M5,DeepAR,456,1,0.9045678141796296,1.0908832033085296,41.10119859845409,0.032
M5,DeepAR-median,456,1,0.9077801782893117,1.1002796167761877,41.10119859845409,0.032
M5,DeepAR-lo-90,456,1,1.3680898355260225,1.8509534272911987,41.10119859845409,0.032
M5,DeepAR-lo-80,456,1,1.0778441754252917,1.4054200899175475,41.10119859845409,0.032
M5,DeepAR-hi-80,456,1,1.353621144659285,1.854604545658417,41.10119859845409,0.032
M5,DeepAR-hi-90,456,1,1.6198882674173052,2.2277661325944313,41.10119859845409,0.032
M5,DLinear,456,1,0.8589180388645868,1.0191258415300097,41.10119859845409,0.032
M5,TimesNet,456,1,0.8522181844779698,0.9340911540732878,41.10119859845409,0.032
M5,SeasonalNaive,N/A,2,1.0976785714285713,1.2991557871464736,30.763590749993455,0.032
M5,AutoARIMA,N/A,2,0.9111122601382792,1.155493758790635,30.763590749993455,0.032
M5,LightGBM,42,2,1.1420058887667948,2.217133868253118,0.565508083003806,0.032
M5,PatchTST,42,2,0.8294225576412179,1.0060566862593523,34.629275909090545,0.04864
M5,NBEATS,42,2,0.8129273727898751,0.9969282313211997,34.629275909090545,0.04864
M5,TiDE,42,2,0.8450579904179488,1.2077788420489393,34.629275909090545,0.04864
M5,DeepAR,42,2,0.9241794864287866,1.2065689955487133,34.629275909090545,0.04864
M5,DeepAR-median,42,2,0.9282188792495124,1.2203971970472167,34.629275909090545,0.04864
M5,DeepAR-lo-90,42,2,1.5479701110923532,2.569995754181353,34.629275909090545,0.04864
